can_nam,year,label,can_par_aff,can_inc_cha_ope_sea,dem_per,gop_per,ind_con,tot_con,tot_rec,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,tot_rec_final,cov_sta,cov_end
"Paton, Jonathan",2012,AZ-1,REP,CHALLENGER,48.6,45.4,301861.5,325861.5,345861.5,158655.52,155894.59,343100.57,1477836.14,2012-04-01 00:00:00,2012-06-30 00:00:00
"Tobin, Andy Hon.",2014,AZ-1,REP,CHALLENGER,52.5,47.5,157174.0,176174.0,176810.67,169554.4,213246.4,220502.67,1385768.58,2014-04-01 00:00:00,2014-06-30 00:00:00
"Kirkpatrick, Ann",2012,AZ-1,DEM,CHALLENGER,48.6,45.4,225350.32,358401.24,358402.86,178344.01,657601.67,837660.52,2363587.45,2012-04-01 00:00:00,2012-06-30 00:00:00
"Kirkpatrick, Ann",2014,AZ-1,DEM,INCUMBENT,52.5,47.5,274279.68,415140.11,420640.11,157979.72,1036178.86,1298839.25,3420445.88,2014-04-01 00:00:00,2014-06-30 00:00:00
"Mcsally, Martha E Ms.",2014,AZ-2,REP,CHALLENGER,50.0,50.0,468611.0,608961.0,651832.77,343459.13,847142.0,1155515.64,4808013.56,2014-04-01 00:00:00,2014-06-30 00:00:00
"Barber, Ronald",2014,AZ-2,DEM,INCUMBENT,50.0,50.0,364963.2,548164.96,558954.46,205078.66,1210051.57,1563927.37,4029500.96,2014-04-01 00:00:00,2014-06-30 00:00:00
"Mercer, Gabriela Saucedo Mrs",2014,AZ-3,REP,CHALLENGER,55.6,44.4,8435.0,8435.0,8435.0,4986.2,491.14,3939.94,93433.06,2014-04-01 00:00:00,2014-06-30 00:00:00
"Mercer, Gabriela Saucedo",2012,AZ-3,REP,CHALLENGER,57.8,37.7,22002.65,23002.65,23002.65,15428.77,10080.03,17653.91,242485.39,2012-04-01 00:00:00,2012-06-30 00:00:00
"Grijalva, Raul M",2014,AZ-3,DEM,INCUMBENT,55.6,44.4,32271.0,55521.0,55521.0,56093.4,108842.54,108270.14,589338.71,2014-04-01 00:00:00,2014-06-30 00:00:00
"Grijalva, Raul M",2012,AZ-3,DEM,INCUMBENT,57.8,37.7,98823.1,148419.34,148490.34,132185.1,146332.93,162638.17,908543.77,2012-04-01 00:00:00,2012-06-30 00:00:00
"Weisser, Mikel ",2014,AZ-4,DEM,CHALLENGER,25.8,70.0,6804.0,6804.0,6804.0,4497.84,694.1,3000.26,40585.84,2014-04-01 00:00:00,2014-06-30 00:00:00
"Gosar, Paul Anthony",2014,AZ-4,REP,INCUMBENT,25.8,70.0,33775.0,73025.0,73025.0,77970.47,200311.54,195366.07,489817.48,2014-04-01 00:00:00,2014-06-30 00:00:00
"Woods, James Issac",2014,AZ-5,DEM,CHALLENGER,30.4,69.6,16063.0,17063.0,17063.0,13093.0,1713.0,7021.0,56416.79,2014-04-01 00:00:00,2014-06-30 00:00:00
"Salmon, Matt",2014,AZ-5,REP,INCUMBENT,30.4,69.6,83192.82,140942.82,141797.82,63640.99,423406.59,501563.42,938582.34,2014-04-01 00:00:00,2014-06-30 00:00:00
"Williamson, W John",2014,AZ-6,DEM,CHALLENGER,35.1,64.9,83.09,683.09,2183.09,2797.85,1127.27,512.51,10694.63,2014-04-01 00:00:00,2014-06-30 00:00:00
"Schweikert, David",2014,AZ-6,REP,INCUMBENT,35.1,64.9,72549.0,112499.0,112499.0,67860.66,40865.42,85503.76,1127799.43,2014-04-01 00:00:00,2014-06-30 00:00:00
"Schweikert, David",2012,AZ-6,REP,INCUMBENT,33.2,61.6,180362.0,274162.0,274380.08,229269.22,811594.62,856705.48,1982869.87,2012-04-01 00:00:00,2012-06-30 00:00:00
"Jette, Matthew T",2012,AZ-6,DEM,OPEN,33.2,61.6,3330.51,3330.51,23330.51,15070.94,0.0,8259.57,25850.51,2012-01-01 00:00:00,2012-06-30 00:00:00
"Parker, Vernon",2012,AZ-9,REP,CHALLENGER,48.3,45.2,136257.39,138257.39,138257.39,61834.98,31315.93,107738.34,1196196.62,2012-04-01 00:00:00,2012-06-30 00:00:00
"Sinema, Kyrsten",2012,AZ-9,DEM,CHALLENGER,48.3,45.2,321636.86,367553.56,367553.56,163460.89,154703.22,358795.89,2167384.11,2012-04-01 00:00:00,2012-06-30 00:00:00
"Rogers, Wendy",2014,AZ-9,REP,CHALLENGER,54.7,41.9,134981.24,138367.9,138367.9,154669.41,403648.2,387346.69,1378441.1,2014-04-01 00:00:00,2014-06-30 00:00:00
"Sinema, Kyrsten",2014,AZ-9,DEM,INCUMBENT,54.7,41.9,354105.02,575197.16,582834.03,253319.26,1265532.99,1595047.76,3718524.89,2014-04-01 00:00:00,2014-06-30 00:00:00
"Reed, James E",2012,CA-1,DEM,CHALLENGER,41.9,58.1,33318.84,35468.84,35468.84,17240.3,456.99,18685.53,192675.52,2012-05-17 00:00:00,2012-06-30 00:00:00
"Hall, Heidi",2014,CA-1,DEM,CHALLENGER,38.1,61.9,25478.67,25728.67,25732.08,11714.32,13302.07,27319.83,233378.26,2014-05-15 00:00:00,2014-06-30 00:00:00
"Lamalfa, Doug",2014,CA-1,REP,INCUMBENT,38.1,61.9,9349.0,57849.0,67296.36,9694.23,179371.19,236973.32,732867.64,2014-05-15 00:00:00,2014-06-30 00:00:00
"Lamalfa, Doug",2012,CA-1,REP,CHALLENGER,41.9,58.1,14082.11,36332.11,37332.11,155599.39,232755.15,114487.87,872995.42,2012-05-17 00:00:00,2012-06-30 00:00:00
"Hernandez, Jose M",2012,CA-10,DEM,CHALLENGER,46.5,53.5,119717.52,238786.21,240786.21,151580.22,367261.19,456467.18,1758386.78,2012-05-17 00:00:00,2012-06-30 00:00:00
"Eggman, Michael Ray",2014,CA-10,DEM,CHALLENGER,43.6,56.4,102828.46,173912.21,174115.47,109701.32,452453.09,516867.24,1294524.96,2014-05-15 00:00:00,2014-06-30 00:00:00
"Denham, Jeff",2012,CA-10,REP,INCUMBENT,46.5,53.5,126195.0,259726.19,325737.63,101723.91,1024659.95,1248673.67,2756588.82,2012-05-17 00:00:00,2012-06-30 00:00:00
"Denham, Jeff",2014,CA-10,REP,INCUMBENT,43.6,56.4,96562.76,238011.76,249652.51,112488.31,1550883.33,1688047.53,2762283.99,2014-05-15 00:00:00,2014-06-30 00:00:00
"Quang, Tue Phan",2014,CA-11,REP,OPEN,66.9,33.1,6442.95,6642.95,6642.95,5368.68,34889.74,36164.01,118694.01,2014-05-15 00:00:00,2014-06-30 00:00:00
"Desaulnier, Mark",2014,CA-11,DEM,OPEN,66.9,33.1,71745.11,145045.11,145045.11,224234.46,118141.73,38952.38,561969.88,2014-05-15 00:00:00,2014-06-30 00:00:00
"Dennis, John",2014,CA-12,REP,CHALLENGER,83.1,16.9,109314.25,109314.25,109314.28,113134.92,16352.76,12532.12,623935.44,2014-05-15 00:00:00,2014-06-30 00:00:00
"Dennis, John",2012,CA-12,REP,CHALLENGER,84.9,15.1,67387.41,67387.41,67387.41,7986.83,68475.11,127875.69,531463.04,2012-05-17 00:00:00,2012-06-30 00:00:00
"Pelosi, Nancy",2012,CA-12,DEM,INCUMBENT,84.9,15.1,63575.74,245575.74,294575.74,197022.55,313143.83,410697.02,2305144.47,2012-05-17 00:00:00,2012-06-30 00:00:00
"Pelosi, Nancy",2014,CA-12,DEM,INCUMBENT,83.1,16.9,121197.35,303197.35,323197.35,169878.02,500683.57,654002.9,2926898.74,2014-05-15 00:00:00,2014-06-30 00:00:00
"Bacigalupi, Debbie",2012,CA-14,REP,CHALLENGER,74.2,25.8,1080.0,1080.0,1125.0,74.58,1644.07,2694.49,32716.61,2012-05-17 00:00:00,2012-06-30 00:00:00
"Speier, Jackie",2012,CA-14,DEM,INCUMBENT,74.2,25.8,108795.84,153795.84,154661.97,89999.84,1060134.24,1124796.37,969474.1,2012-05-17 00:00:00,2012-06-30 00:00:00
"Bussell, Hugh",2014,CA-15,REP,CHALLENGER,69.8,30.2,,300.0,300.27,1311.75,3235.87,2224.39,25367.27,2014-05-15 00:00:00,2014-06-30 00:00:00
"Swalwell, Eric Michael",2012,CA-15,DEM,CHALLENGER,47.8,52.2,109467.0,115917.0,115923.19,87625.79,51177.01,79474.41,826186.24,2012-05-17 00:00:00,2012-06-30 00:00:00
"Stark, Fortney Hillman Jr",2012,CA-15,DEM,INCUMBENT,47.8,52.2,6502.48,89590.36,89619.51,177134.01,466849.36,379334.86,939654.02,2012-05-17 00:00:00,2012-06-30 00:00:00
"Swalwell, Eric Michael",2014,CA-15,DEM,INCUMBENT,69.8,30.2,84140.81,187740.81,187877.48,340949.48,696587.27,543515.27,2040208.3,2014-05-15 00:00:00,2014-06-30 00:00:00
"Tacherra, Johnny",2014,CA-16,REP,CHALLENGER,50.7,49.3,25040.0,25040.0,25040.0,19810.89,5862.12,11091.23,342411.55,2014-05-15 00:00:00,2014-06-30 00:00:00
"Whelan, Brian",2012,CA-16,REP,CHALLENGER,55.1,44.9,135064.67,139664.67,139664.67,40698.11,39177.74,138144.3,706128.67,2012-05-17 00:00:00,2012-06-30 00:00:00
"Costa, Jim",2012,CA-16,DEM,INCUMBENT,55.1,44.9,34480.0,119500.01,119500.01,53691.14,222364.39,288173.26,1483125.53,2012-05-17 00:00:00,2012-06-30 00:00:00
"Costa, Jim",2014,CA-16,DEM,INCUMBENT,50.7,49.3,93710.0,171710.0,172004.86,39868.14,627622.77,759759.49,1524075.67,2014-05-15 00:00:00,2014-06-30 00:00:00
"Li, Evelyn",2012,CA-17,REP,CHALLENGER,73.3,26.7,6260.0,6260.0,6260.0,5371.0,8262.36,9151.36,69718.8,2012-05-17 00:00:00,2012-06-30 00:00:00
"Honda, Mike",2012,CA-17,DEM,INCUMBENT,73.3,26.7,38667.84,79517.84,79517.84,95366.77,344491.27,328642.34,900844.16,2012-05-17 00:00:00,2012-06-30 00:00:00
"Khanna, Rohit",2014,CA-17,DEM,CHALLENGER,51.8,48.2,198696.0,198696.0,199235.33,341485.87,1009672.7,867422.16,3412568.09,2014-05-15 00:00:00,2014-06-30 00:00:00
"Honda, Mike",2014,CA-17,DEM,INCUMBENT,51.8,48.2,225130.93,339739.66,341855.02,320792.57,1042293.52,1063355.97,3390694.29,2014-05-15 00:00:00,2014-06-30 00:00:00
"Fox, Richard B",2014,CA-18,REP,CHALLENGER,67.4,32.6,10040.0,10040.0,10140.0,926.92,2082.73,11295.81,42012.0,2014-05-15 00:00:00,2014-06-30 00:00:00
"Eshoo, Anna",2014,CA-18,DEM,INCUMBENT,67.4,32.6,27905.0,145257.59,145398.06,149339.51,453182.28,449240.83,1509756.37,2014-05-15 00:00:00,2014-06-30 00:00:00
"Roberts, Daniel ",2012,CA-2,REP,OPEN,70.4,29.6,2390.0,2390.0,2390.0,48150.73,52643.33,6882.6,268634.36,2012-05-17 00:00:00,2012-06-30 00:00:00
"Huffman, Jared",2012,CA-2,DEM,OPEN,70.4,29.6,39380.8,82172.05,82572.05,415269.83,428475.81,95778.03,1449511.65,2012-05-17 00:00:00,2012-06-30 00:00:00
"Renteria, Amanda",2014,CA-21,DEM,CHALLENGER,41.5,58.5,154264.92,289376.87,289916.87,221821.8,328803.83,396898.9,1725079.55,2014-05-15 00:00:00,2014-06-30 00:00:00
"Valadao, David",2012,CA-21,REP,CHALLENGER,41.1,58.9,45005.05,187705.05,193445.06,25384.39,490546.85,658607.52,1315897.19,2012-05-17 00:00:00,2012-06-30 00:00:00
"Valadao, David",2014,CA-21,REP,INCUMBENT,41.5,58.5,94871.53,358568.67,358754.87,86244.2,967127.15,1239637.82,2685195.54,2014-05-15 00:00:00,2014-06-30 00:00:00
"Hernandez, John S",2012,CA-21,DEM,CHALLENGER,41.1,58.9,2411.59,7411.59,7411.59,9052.32,0.0,-1640.73,123904.84,2012-05-17 00:00:00,2012-06-30 00:00:00
"Marrero, Suzanna Augilera",2014,CA-22,DEM,CHALLENGER,27.7,72.3,595.0,595.0,609.0,1671.23,3463.7,2401.47,36527.12,2014-05-15 00:00:00,2014-06-30 00:00:00
"Lee, Otto",2012,CA-22,DEM,CHALLENGER,37.1,62.9,50692.71,85342.71,85342.71,70182.1,55014.35,70174.96,399219.45,2012-05-17 00:00:00,2012-06-30 00:00:00
"Nunes, Devin Gerald",2012,CA-22,REP,INCUMBENT,37.1,62.9,105722.5,270222.5,270896.3,535123.58,1510687.73,1246460.45,1551896.98,2012-05-17 00:00:00,2012-06-30 00:00:00
"Nunes, Devin G",2014,CA-22,REP,INCUMBENT,27.7,72.3,87120.0,230814.17,231163.04,18092.62,2041536.04,2254606.46,2145627.18,2014-05-15 00:00:00,2014-06-30 00:00:00
"Mitchum, Christopher",2014,CA-24,REP,CHALLENGER,51.7,48.3,25734.56,25734.56,45734.56,47520.68,12893.22,11107.1,494078.69,2014-05-15 00:00:00,2014-06-30 00:00:00
"Maldonado, Abel",2012,CA-24,REP,CHALLENGER,54.8,45.2,155445.0,257195.0,274730.89,92254.27,320483.47,502960.09,2702469.8,2012-05-17 00:00:00,2012-06-30 00:00:00
"Capps, Lois G",2014,CA-24,DEM,INCUMBENT,51.7,48.3,83683.47,213441.87,219674.49,140343.88,1015114.88,1094445.49,2282305.02,2014-05-15 00:00:00,2014-06-30 00:00:00
"Capps, Lois",2012,CA-24,DEM,INCUMBENT,54.8,45.2,271524.46,449831.94,450072.67,254830.78,1088090.74,1283332.63,3320070.72,2012-05-17 00:00:00,2012-06-30 00:00:00
"Rogers, Lee C",2012,CA-25,DEM,CHALLENGER,44.4,55.6,50775.39,55775.39,56114.53,39239.52,26577.83,43452.84,374126.89,2012-05-17 00:00:00,2012-06-30 00:00:00
"Knight, Steve",2014,CA-25,REP,OPEN,46.6,53.4,26377.0,35177.0,35177.02,65611.25,43247.5,12813.27,415460.24,2014-05-15 00:00:00,2014-06-30 00:00:00
"Strickland, Anthony A",2014,CA-25,REP,OPEN,46.6,53.4,82153.68,202153.68,202153.68,395548.78,427469.62,234074.52,1931068.12,2014-05-15 00:00:00,2014-06-30 00:00:00
"Mckeon, Howard P. 'Buck'",2012,CA-25,REP,INCUMBENT,44.4,55.6,13010.0,81510.0,115127.26,254414.65,826591.53,687304.14,1980066.12,2012-05-17 00:00:00,2012-06-30 00:00:00
"Gorell, Jeff",2014,CA-26,REP,CHALLENGER,50.8,49.2,169858.3,266058.3,270447.12,86501.88,122181.69,306126.93,1388717.9,2014-05-15 00:00:00,2014-06-30 00:00:00
"Brownley, Julia",2012,CA-26,DEM,CHALLENGER,52.0,48.0,247939.88,371679.7,373152.28,268403.46,217336.47,322085.29,2155827.82,2012-05-17 00:00:00,2012-06-30 00:00:00
"Strickland, Anthony A.",2012,CA-26,REP,CHALLENGER,52.0,48.0,223972.13,445626.13,452715.11,170363.41,719153.2,1001504.9,2482625.55,2012-05-17 00:00:00,2012-06-30 00:00:00
"Brownley, Julia",2014,CA-26,DEM,INCUMBENT,50.8,49.2,237909.79,391789.71,391789.71,75069.95,1231378.67,1548098.43,3590149.32,2014-05-15 00:00:00,2014-06-30 00:00:00
"Orswell, Jack",2012,CA-27,REP,CHALLENGER,63.3,36.7,13035.0,13035.0,13035.0,12854.9,28351.71,28531.81,204289.12,2012-05-17 00:00:00,2012-06-30 00:00:00
"Orswell, Jack",2014,CA-27,REP,CHALLENGER,58.9,41.1,20083.0,20083.0,20168.0,2499.54,31534.43,49202.89,176341.24,2014-05-15 00:00:00,2014-06-30 00:00:00
"Chu, Judy",2012,CA-27,DEM,INCUMBENT,63.3,36.7,23040.83,57040.83,57040.83,107624.71,1077166.68,1026582.8,1523172.1,2012-05-17 00:00:00,2012-06-30 00:00:00
"Chu, Judy",2014,CA-27,DEM,INCUMBENT,58.9,41.1,15110.0,35860.0,35860.0,39822.58,1492204.47,1488241.89,1168164.17,2014-05-15 00:00:00,2014-06-30 00:00:00
"Stokes, Steve",2014,CA-28,IND,CHALLENGER,76.0,24.0,495.0,495.0,1287.12,1682.65,1738.06,1342.53,7660.46,2014-05-15 00:00:00,2014-06-30 00:00:00
"Schiff, Adam",2014,CA-28,DEM,INCUMBENT,76.0,24.0,16394.0,83894.0,84335.97,41034.23,1999225.49,2042527.23,916759.17,2014-05-15 00:00:00,2014-06-30 00:00:00
"Garamendi, John",2012,CA-3,DEM,INCUMBENT,53.9,46.1,133289.7,210595.34,211095.34,127282.68,132257.01,216069.67,2085819.12,2012-05-17 00:00:00,2012-06-30 00:00:00
"Dolbow Vann, Kimberly",2012,CA-3,REP,CHALLENGER,53.9,46.1,104400.0,221900.0,222412.01,168279.19,168602.19,222735.01,1237746.49,2012-05-17 00:00:00,2012-06-30 00:00:00
"Garamendi, John",2014,CA-3,DEM,INCUMBENT,52.2,47.8,56564.63,143190.01,144814.18,66943.96,264562.78,342433.0,1457786.33,2014-05-15 00:00:00,2014-06-30 00:00:00
"Logue, Daniel",2014,CA-3,REP,CHALLENGER,52.2,47.8,80614.14,136614.14,266671.43,217574.5,274786.27,323883.2,1612862.53,2014-05-15 00:00:00,2014-06-30 00:00:00
"Reed Sr., Mark Steven Sr.",2014,CA-30,REP,CHALLENGER,65.0,35.0,3241.85,3241.85,3241.85,552.43,1237.9,3927.32,10216.06,2014-05-15 00:00:00,2014-06-30 00:00:00
"Sherman, Brad",2014,CA-30,DEM,INCUMBENT,65.0,35.0,137462.0,235562.0,235562.0,305815.78,138262.97,68009.19,1517097.49,2014-05-15 00:00:00,2014-06-30 00:00:00
"Berman, Howard L",2012,CA-30,DEM,INCUMBENT,60.4,39.6,266476.83,355476.83,361602.41,733666.74,818914.09,446849.76,4686484.25,2012-05-17 00:00:00,2012-06-30 00:00:00
"Sherman, Brad",2012,CA-30,DEM,INCUMBENT,60.4,39.6,124528.83,169627.83,620485.43,621951.04,3009979.97,3008514.36,3401860.25,2012-05-17 00:00:00,2012-06-30 00:00:00
"Chabot, Paul R Dr.",2014,CA-31,REP,OPEN,51.4,48.6,22511.0,35161.0,39661.0,41879.06,28559.65,26341.59,523036.83,2014-05-15 00:00:00,2014-06-30 00:00:00
"Dutton, Robert Bob",2012,CA-31,REP,CHALLENGER,55.2,44.8,20130.0,27130.0,27130.0,24905.89,28884.5,31108.61,387524.29,2012-05-17 00:00:00,2012-06-30 00:00:00
"Aguilar, Pete",2014,CA-31,DEM,OPEN,51.4,48.6,134491.72,262781.23,284381.23,361408.05,402755.81,325728.99,2234755.55,2014-05-15 00:00:00,2014-06-30 00:00:00
"Miller, Gary G",2012,CA-31,REP,INCUMBENT,55.2,44.8,57272.01,112772.01,115956.58,111307.32,854648.0,859297.26,1271804.06,2012-05-17 00:00:00,2012-06-30 00:00:00
"Miller, David Lawrence",2012,CA-32,REP,CHALLENGER,64.9,35.1,3850.0,3855.0,3855.0,2934.57,220.85,1141.28,48913.93,2012-05-17 00:00:00,2012-06-30 00:00:00
"Alas, Arturo E Iii",2014,CA-32,REP,CHALLENGER,59.3,40.7,1093.0,1093.0,1093.0,3482.8,10590.1,8200.3,61019.64,2014-05-15 00:00:00,2014-06-30 00:00:00
"Napolitano, Grace",2012,CA-32,DEM,INCUMBENT,64.9,35.1,3795.83,59471.14,59471.14,40086.09,288286.34,307671.39,540770.26,2012-05-17 00:00:00,2012-06-30 00:00:00
"Napolitano, Grace",2014,CA-32,DEM,INCUMBENT,59.3,40.7,14500.0,70250.0,70276.79,18258.84,289457.97,341475.92,347168.21,2014-05-15 00:00:00,2014-06-30 00:00:00
"Carr, Elan S.",2014,CA-33,REP,OPEN,58.6,41.4,424373.0,434873.0,454892.1,232405.69,24357.97,246844.38,1631866.04,2014-05-15 00:00:00,2014-06-30 00:00:00
"Lieu, Ted",2014,CA-33,DEM,OPEN,58.6,41.4,269875.6,359915.6,360239.23,607114.68,451313.64,204438.19,2369035.5,2014-05-15 00:00:00,2014-06-30 00:00:00
"Gagnier, Christina",2014,CA-35,DEM,OPEN,36.7,63.3,5436.0,7436.0,7436.0,2972.29,1844.97,6308.68,82283.74,2014-05-15 00:00:00,2014-06-30 00:00:00
"Torres, Norma",2014,CA-35,DEM,OPEN,36.7,63.3,32839.25,124839.25,124839.25,64734.06,10497.98,70603.17,477920.89,2014-05-15 00:00:00,2014-06-30 00:00:00
"Baca, Joe",2012,CA-35,DEM,CHALLENGER,44.1,55.9,31282.88,120347.74,120366.53,55776.47,126292.14,190882.2,1046528.46,2012-05-17 00:00:00,2012-06-30 00:00:00
"Mcleod, Gloria Negrete",2012,CA-35,DEM,CHALLENGER,44.1,55.9,15285.57,18285.57,18285.57,63720.38,127279.55,81844.74,352549.74,2012-05-17 00:00:00,2012-06-30 00:00:00
"Nestande, Brian",2014,CA-36,REP,CHALLENGER,53.8,46.2,96472.0,169472.0,169472.0,170959.94,236119.56,234631.62,1299009.56,2014-05-15 00:00:00,2014-06-30 00:00:00
"Ruiz, Raul Dr.",2012,CA-36,DEM,CHALLENGER,51.9,48.1,193931.1,276330.1,276356.6,37340.29,385855.4,624871.71,1976758.0,2012-05-17 00:00:00,2012-06-30 00:00:00
"Bono Mack, Mary",2012,CA-36,REP,INCUMBENT,51.9,48.1,153369.0,313994.0,327869.08,72060.0,592402.18,848211.26,2258741.4,2012-05-17 00:00:00,2012-06-30 00:00:00
"Ruiz, Raul Dr.",2014,CA-36,DEM,INCUMBENT,53.8,46.2,169770.56,317321.67,320639.78,48427.06,1636211.73,1908424.45,3409976.53,2014-05-15 00:00:00,2014-06-30 00:00:00
"Bass, Karen",2014,CA-37,DEM,INCUMBENT,83.9,16.1,77411.37,137411.37,137611.37,97291.81,253332.81,293652.37,1045813.42,2014-05-15 00:00:00,2014-06-30 00:00:00
"King, R Adam",2014,CA-37,REP,CHALLENGER,83.9,16.1,11360.0,11360.0,11360.0,8747.53,0.0,2612.47,14585.0,2014-01-01 00:00:00,2014-06-30 00:00:00
"Chen, Jay",2012,CA-39,DEM,CHALLENGER,41.2,58.8,85020.28,95529.78,97492.78,34598.31,315006.35,377900.82,793548.61,2012-05-17 00:00:00,2012-06-30 00:00:00
"Royce, Edward R",2012,CA-39,REP,INCUMBENT,41.2,58.8,107815.0,198215.0,204713.87,342826.7,2150198.08,2012085.25,2748940.37,2012-05-17 00:00:00,2012-06-30 00:00:00
"Uppal, Jack",2012,CA-4,DEM,CHALLENGER,38.8,61.2,7995.84,8495.84,8495.84,1356.98,14346.97,21485.83,57406.58,2012-05-17 00:00:00,2012-06-30 00:00:00
"Moore, Arthur S",2014,CA-4,REP,CHALLENGER,60.5,39.5,21410.0,21410.0,21410.0,57216.75,40075.72,4268.97,256830.17,2014-05-15 00:00:00,2014-06-30 00:00:00
"Mcclintock, Thomas",2012,CA-4,REP,INCUMBENT,38.8,61.2,114631.57,125131.57,125131.57,67019.64,346534.86,404646.79,1191742.7,2012-05-17 00:00:00,2012-06-30 00:00:00
"Mcclintock, Thomas",2014,CA-4,REP,INCUMBENT,60.5,39.5,56228.0,63978.0,63978.0,97827.53,459417.95,425568.42,1593895.75,2014-05-15 00:00:00,2014-06-30 00:00:00
"Adams, Steve",2014,CA-41,REP,CHALLENGER,56.0,44.0,17750.0,17760.0,17773.85,10836.32,32546.53,39484.06,251122.01,2014-05-15 00:00:00,2014-06-30 00:00:00
