year,label,can_nam_dem,can_par_aff_dem,can_inc_cha_ope_sea_dem,ind_con_dem,tot_con_dem,tot_rec_dem,tot_dis_dem,cas_on_han_beg_of_per_dem,cas_on_han_clo_of_per_dem,tot_rec_final_dem,can_nam_gop,can_par_aff_gop,can_inc_cha_ope_sea_gop,per_dem,per_gop,ind_con_gop,tot_con_gop,tot_rec_gop,tot_dis_gop,cas_on_han_beg_of_per_gop,cas_on_han_clo_of_per_gop,tot_rec_final_gop,gopwin,population,income,homeval,rentval,gopvi,density,white,gop_cash_adv_beg,gop_cash_adv_end,urb_cat,seat_stat_gop,inc_gop,gop_fund_adv
2014,CA-22,"Marrero, Suzanna Augilera",DEM,1,595.0,595.0,609.0,1671.23,3463.7,2401.47,36527.12,"Nunes, Devin G",REP,0,27.7,72.3,87120.0,230814.17,231163.04,18092.62,2041536.04,2254606.46,2145627.18,1,719148,51014,135289,933,10,617,0.731695006,2038072,2252204,1,INCUMBENT,1,230554
2014,NC-5,"Brannon, Joshua Josh"" Ethan""",DEM,1,5325.0,5325.0,5325.0,0.0,5325.0,5325.0,11581.0,"Foxx, Virginia Ann",REP,0,39.0,61.0,108316.7,148674.35,150300.36,40537.38,2014974.2,2124737.18,1274738.5,1,739563,42662,201454,693,11,207,0.814271401,2009649,2119412,2,INCUMBENT,1,144975
2012,IL-6,"Coolidge, Leslie Anne",DEM,1,41770.0,50270.0,52922.64,30046.98,2011.19,24886.85,413376.55,"Roskam, Peter",REP,0,40.8,59.2,164573.0,382623.0,412531.15,747767.38,1983383.23,1648147.0,3277931.9,1,721408,89382,207975,1130,4,1904,0.8507502,1981372,1623260,0,INCUMBENT,1,359608
2014,MN-3,"Sund, Sharon ",DEM,1,51289.69,53789.69,53789.69,54895.31,30625.09,29519.47,156135.22,"Paulsen, Erik",REP,0,37.8,62.2,210260.42,438954.59,440125.03,218937.25,1979136.02,2200323.8,3196225.86,1,681063,76753,197578,1022,2,1292,0.823283602,1948510,2170804,0,INCUMBENT,1,386335
2012,CA-39,"Chen, Jay",DEM,1,85020.28,95529.78,97492.78,34598.31,315006.35,377900.82,793548.61,"Royce, Edward R",REP,0,41.2,58.8,107815.0,198215.0,204713.87,342826.7,2150198.08,2012085.25,2748940.37,1,716590,77547,149106,1412,5,3505,0.55398624,1835191,1634184,0,INCUMBENT,1,107221
2012,IA-3,"Boswell, Leonard L.",DEM,0,111297.69,202797.69,202836.59,37113.36,307826.68,473549.91,1747775.66,"Latham, Thomas",REP,0,43.6,52.3,148615.97,347865.97,356616.93,189116.92,1978080.63,2145580.64,3412780.12,1,780488,56768,217463,755,0,88,0.896123963,1670253,1672030,2,INCUMBENT,1,153780
2014,OR-2,"Christofferson, Aelea",DEM,1,17805.0,25805.0,25805.0,8650.72,10351.6,27505.88,135231.17,"Walden, Gregory P Mr.",REP,0,25.6,70.8,173920.2,369252.28,369363.7,1012684.2,1679512.61,1036192.11,3498327.03,1,773472,42658,193539,796,10,11,0.90450333,1669161,1008686,2,INCUMBENT,1,343558
2012,OH-12,"Reese, James",DEM,1,6250.0,7250.0,7311.1,7133.89,53.85,231.06,25393.48,"Tiberi, Patrick J.",REP,0,36.3,63.7,225555.0,502305.0,516182.76,216719.45,1667045.03,1966508.34,3375829.85,1,737402,62771,202511,810,8,324,0.889715515,1666991,1966277,2,INCUMBENT,1,508871
2012,OR-2,"Segers, Joyce B",DEM,1,5183.0,5183.0,5183.0,4952.22,1455.17,1685.95,34471.22,"Walden, Gregory P Mr.",REP,0,29.0,69.0,187504.0,368528.18,368920.87,96101.42,1645762.93,1918582.38,2736873.41,1,773472,42658,193539,796,10,11,0.90450333,1644307,1916896,2,INCUMBENT,1,363737
2014,PA-7,"Balchunis, Mary Ellen",DEM,1,14310.0,15310.0,15310.0,17941.07,12607.94,9976.87,94468.12,"Meehan, Patrick L. Mr.",REP,0,38.0,62.0,31150.0,242750.0,243600.39,77602.12,1610875.95,1776874.22,1995783.36,1,710660,77914,200963,1079,2,823,0.88222216,1598268,1766897,1,INCUMBENT,1,228290
2014,KS-2,"Wakefield, Margie",DEM,1,115130.39,135380.39,135380.39,104568.11,204952.04,235764.32,783559.58,"Jenkins, Lynn",REP,0,38.5,57.2,127506.45,382106.45,383139.38,148559.04,1762261.66,1996842.0,2633523.81,1,714295,47431,184895,705,8,50,0.877932787,1557309,1761077,2,INCUMBENT,1,247758
2012,NC-5,"Motsinger, Elisabeth Marie",DEM,1,27186.23,28461.23,28461.23,17126.24,7939.85,19274.84,133268.31,"Foxx, Virginia",REP,0,42.5,57.5,98059.0,131059.0,132050.34,71042.02,1464962.15,1525970.47,972460.35,1,739563,42662,201454,693,11,207,0.814271401,1457022,1506695,2,INCUMBENT,1,103589
2012,CA-22,"Lee, Otto",DEM,1,50692.71,85342.71,85342.71,70182.1,55014.35,70174.96,399219.45,"Nunes, Devin Gerald",REP,0,37.1,62.9,105722.5,270222.5,270896.3,535123.58,1510687.73,1246460.45,1551896.98,1,719148,51014,135289,933,10,617,0.731695006,1455673,1176285,1,INCUMBENT,1,185553
2012,TX-32,"Mcgovern, Katherine Savers",DEM,1,17195.0,17195.0,18427.16,16162.63,3514.15,5778.68,79696.09,"Sessions, Pete",REP,0,39.4,58.3,10485.0,139185.0,143262.92,93180.13,1457699.72,1507782.51,1836551.52,1,721770,62062,156312,950,10,3887,0.632640592,1454185,1502003,0,INCUMBENT,1,124835
2012,IL-10,"Schneider, Bradley Scott",DEM,1,473623.57,582341.65,582539.69,241115.83,226199.51,567623.37,3043849.38,"Dold, Robert James Mr Jr",REP,1,50.5,49.5,489583.97,711083.97,717396.33,213151.69,1631788.73,2136033.37,4569885.11,0,712624,68318,177717,1025,-8,2377,0.76400037,1405589,1568410,0,CHALLENGER,0,134856
2012,TX-2,"Dougherty, James Sampson",DEM,1,1174.95,1384.95,1384.95,1604.52,10406.59,10187.02,50168.7,"Poe, Ted",REP,0,32.7,64.8,49604.86,72454.86,71516.94,31278.23,1365551.8,1405790.51,966270.91,1,730716,70444,161186,984,16,2366,0.716378182,1355145,1395603,0,INCUMBENT,1,70131
2012,TX-21,"Duval, Candace",DEM,1,8006.0,9006.0,9006.0,5967.23,-458.76,2580.01,57058.3,"Smith, Lamar",REP,0,35.4,60.6,32999.28,169729.28,170339.22,423704.53,1326585.57,1073220.26,1727471.98,1,733852,59997,172801,961,12,123,0.869183432,1327044,1070640,2,INCUMBENT,1,161333
2014,KY-2,"Leach, Ronald Allen",DEM,1,6380.5,10880.5,22380.5,23114.16,6265.13,5531.47,150743.47,"Guthrie, Steven Brett",REP,0,30.8,69.2,73950.14,318643.36,319119.01,80975.62,1309370.7,1547514.09,1834726.89,1,734009,44716,194260,640,16,102,0.898444025,1303105,1541982,2,INCUMBENT,1,296738
2012,TX-6,"Sanders, Kenneth",DEM,2,3614.23,3614.23,16550.97,15322.76,3671.0,4899.21,145117.41,"Barton, Joe Linus",REP,0,39.2,58.0,39287.53,140887.53,125512.56,382393.8,1300972.7,1044091.46,1535592.48,1,727566,58915,169037,883,11,338,0.69498987,1297301,1039192,2,INCUMBENT,1,108961
2014,IN-4,"Dale, John",DEM,1,12014.12,12514.12,12514.12,8714.9,0.0,3799.22,55522.72,"Rokita, Theodore Edward",REP,0,33.1,66.9,69875.0,145233.2,145440.56,222795.82,1234971.18,1157615.92,1537040.32,1,731304,50652,193324,730,11,115,0.909776235,1234971,1153816,2,INCUMBENT,1,132926
2012,WV-1,"Thorn, Susan Carol",DEM,1,26482.36,30982.36,30982.36,27474.92,3642.12,7149.56,192675.13,"Mckinley, David B.",REP,0,37.5,62.5,112346.64,235846.64,235846.64,70521.82,1193418.69,1358743.51,2136064.83,1,618410,40662,173081,601,14,98,0.949265051,1189776,1351593,2,INCUMBENT,1,204864
2012,CO-6,"Miklosi, Joe",DEM,1,101393.67,163470.41,163470.41,43074.23,399149.55,519545.73,1711957.76,"Coffman, Michael",REP,0,45.1,48.7,148128.0,276628.0,276628.0,22848.84,1586172.86,1839952.02,3441282.7,1,752009,65508,177657,1046,-1,1584,0.758814057,1187023,1320406,0,INCUMBENT,1,113157
2014,PA-8,"Strouse, Kevin",DEM,1,146543.17,201127.51,201139.29,348223.47,415804.68,268720.5,1346514.37,"Fitzpatrick, Michael G.",REP,0,38.1,61.9,216678.11,411427.26,428563.43,79624.9,1557891.67,1906830.2,3056434.55,1,707648,75305,200553,1101,1,1001,0.890469555,1142086,1638109,0,INCUMBENT,1,227424
2014,OH-15,"Wharton, Richard Scott",DEM,1,14080.45,20515.45,20515.45,10761.33,3113.56,12867.68,127140.12,"Stivers, Steve Mr.",REP,0,33.9,66.1,133736.0,366836.0,366836.0,214579.61,1132258.7,1284515.09,2736492.85,1,732459,54676,188566,796,6,154,0.913051789,1129145,1271647,2,INCUMBENT,1,346320
2012,PA-18,"Maggi, Lawrence Owen",DEM,1,156153.74,203903.74,203903.74,62875.41,266742.96,407771.29,690205.26,"Murphy, Tim",REP,0,36.0,64.0,128485.0,290775.0,312126.46,675439.5,1388549.8,1025236.76,2386295.47,1,707890,58364,219504,732,10,341,0.938804051,1121806,617465,2,INCUMBENT,1,108222
2012,CA-49,"Tetalman, Jerry",DEM,1,5791.25,5791.25,6201.25,6597.47,6664.6,6268.38,136167.65,"Issa, Darrell ",REP,0,41.2,58.8,86793.51,214793.51,231604.81,194166.31,1125583.77,1163022.27,2478710.48,1,711166,69082,149021,1498,4,1285,0.772475062,1118919,1156753,0,INCUMBENT,1,225403
2014,OH-4,"Garrett, Janet Patricia",DEM,1,15078.37,15078.37,15078.37,3379.18,0.0,11699.19,44737.38,"Jordan, James D.",REP,0,32.2,67.8,67949.9,117804.8,117960.81,302077.59,1110939.21,926822.43,937570.14,1,715770,46843,193727,661,9,153,0.90714615,1110939,915123,2,INCUMBENT,1,102882
2012,OH-4,"Slone, James M",DEM,1,7843.1,18566.4,18585.84,8701.59,1607.05,11491.3,34166.51,"Jordan, James D.",REP,0,36.2,58.7,70706.0,120956.0,121481.0,124722.65,1109280.82,1106039.17,1078119.01,1,715770,46843,193727,661,9,153,0.90714615,1107673,1094547,2,INCUMBENT,1,102895
2014,CA-10,"Eggman, Michael Ray",DEM,1,102828.46,173912.21,174115.47,109701.32,452453.09,516867.24,1294524.96,"Denham, Jeff",REP,0,43.6,56.4,96562.76,238011.76,249652.51,112488.31,1550883.33,1688047.53,2762283.99,1,715054,51743,132144,1021,1,393,0.732014645,1098430,1171180,2,INCUMBENT,1,75537
2012,KS-2,"Schlingensiepen, Tobias",DEM,1,37173.0,37173.0,37173.02,13587.13,0.0,23585.89,215357.3,"Jenkins, Lynn",REP,0,38.8,57.0,138926.61,348412.12,349985.6,54028.28,1097502.39,1393459.71,1948903.34,1,714295,47431,184895,705,8,50,0.877932787,1097502,1369873,2,INCUMBENT,1,312812
2012,VA-6,"Schmookler, Andy",DEM,1,8465.0,9465.0,9465.0,4833.95,13212.87,17843.92,172429.14,"Goodlatte, Robert W",REP,0,34.4,65.6,34596.01,181596.01,185937.72,283888.93,1109597.74,1011646.53,1606587.55,1,735731,47086,192707,759,12,124,0.841837574,1096384,993802,2,INCUMBENT,1,176472
2014,NE-1,"Crawford, Dennis P",DEM,1,4165.0,4465.0,4465.0,906.0,18429.0,21987.0,47209.0,"Fortenberry, Jeffrey",REP,0,31.0,69.0,45744.74,88744.74,92997.71,56332.27,1089431.1,1126096.54,784737.23,1,620380,52337,159082,701,10,69,0.9029627,1071002,1104109,2,INCUMBENT,1,88532
2012,MN-2,"Obermueller, Michael E",DEM,1,145556.21,220602.21,253102.21,38933.24,0.0,214168.97,722173.24,"Kline, John Paul Jr",REP,0,45.9,54.1,196112.53,428112.53,428280.24,151230.08,1060174.78,1337224.94,2352676.1,1,675357,72975,195572,915,2,277,0.866563906,1060174,1123055,2,INCUMBENT,1,175178
2012,FL-16,"Fitzgerald, Keith",DEM,1,296433.37,381215.31,381215.31,152570.12,422360.15,651005.34,1447610.84,"Buchanan, Vernon",REP,0,46.4,53.6,195093.78,333936.8,335458.83,287984.22,1473198.62,1520673.23,2730570.15,1,714258,47987,218281,952,6,815,0.879063308,1050838,869667,1,INCUMBENT,1,-45756
2014,NJ-2,"Hughes, William J Jr",DEM,1,40348.65,53848.65,78848.65,25101.31,342198.61,395945.95,769235.81,"Lobiondo, Frank A.",REP,0,37.0,61.7,82221.0,250221.0,251296.23,74136.06,1385299.05,1562459.22,2128409.65,1,733779,57154,191491,1028,-1,350,0.742389739,1043100,1166513,2,INCUMBENT,1,172447
2014,MI-6,"Clements, Paul Colin",DEM,1,120583.15,128083.15,128083.15,44815.07,275961.06,359229.14,793716.62,"Upton, Frederick Stephen",REP,0,40.4,55.8,173027.99,457732.0,458034.41,160669.45,1305587.09,1602952.05,3926017.82,1,708717,45848,195931,685,1,199,0.852046727,1029626,1243722,2,INCUMBENT,1,329951
2014,VA-1,"Mosher, Norman Gardner",DEM,1,10265.0,11265.0,11265.0,5771.76,0.0,5493.24,108214.7,"Wittman, Robert J",REP,0,34.5,63.0,56644.31,139944.31,139944.31,109966.74,1012922.36,1042899.93,1210489.86,1,751432,76044,192742,1214,6,203,0.734682579,1012922,1037406,2,INCUMBENT,1,128679
2012,SD-1,"Varilek, Matt",DEM,1,131182.0,151734.79,151734.79,100502.4,240683.21,291915.6,983834.1,"Noem, Kristi Lynn",REP,0,42.5,57.5,159251.98,307751.98,318996.36,104664.48,1235270.54,1449602.42,2811273.74,1,834236,49332,220794,644,10,11,0.853394004,994587,1157686,2,INCUMBENT,1,167261
2014,NV-3,"Kohn, Erin Bilbray",DEM,1,68420.1,146599.72,147599.72,35833.27,387376.23,499142.68,1161529.29,"Heck, Joe",REP,0,36.1,60.8,71294.69,136884.92,143493.29,59313.97,1376667.9,1460847.22,2484963.91,1,710840,61836,154716,1170,0,249,0.708975297,989291,961704,2,INCUMBENT,1,-4106
2012,OH-15,"Lang, Patrick",DEM,1,17955.0,28205.0,31205.0,31850.77,5675.53,5029.76,109744.47,"Stivers, Steve Mr.",REP,0,38.2,61.8,199650.0,368434.66,368493.28,161151.12,929979.09,1137321.25,2748358.32,1,732459,54676,188566,796,6,154,0.913051789,924303,1132291,2,INCUMBENT,1,337288
2014,WI-7,"Westlund, Kelly",DEM,1,115591.5,136682.39,136682.39,89380.39,97496.48,144798.48,528203.11,"Duffy, Sean",REP,0,39.5,59.2,222924.57,408474.57,409060.24,353460.49,983162.71,1038762.46,2539782.95,1,712153,47416,221133,660,2,30,0.93883056,885666,893963,2,INCUMBENT,1,272377
2014,KY-6,"Jensen, Elisabeth",DEM,1,117501.87,162664.79,163166.99,113216.35,226360.93,276311.57,890068.37,"Barr, Garland Andy",REP,0,40.0,60.0,157006.28,318697.41,326066.72,70274.71,1111509.81,1367301.82,2748741.62,1,739071,45022,178264,697,9,172,0.852763808,885148,1090990,2,INCUMBENT,1,162899
2012,NY-18,"Maloney, Sean Patrick",DEM,2,60427.75,115427.75,115427.75,225502.51,377829.36,267754.6,2257170.87,"Hayworth, Nan",REP,1,51.7,48.3,150665.96,277830.96,277987.45,60042.4,1260980.33,1478925.38,3319063.02,0,719331,75236,174537,1148,0,531,0.782130897,883150,1211170,1,CHALLENGER,0,162559
2012,KS-4,"Tillman, Robert Leon",DEM,1,252.0,252.0,29852.0,2131.3,6340.29,34060.99,65563.9,"Pompeo, Michael Richard",REP,0,31.4,62.5,138520.02,262020.02,263633.35,67379.34,884052.68,1080306.69,1924284.53,1,716547,48808,182671,689,14,50,0.837392383,877712,1046245,2,INCUMBENT,1,233781
2014,MI-11,"Mckenzie, Bobby",DEM,1,103026.52,113026.52,113026.52,119059.66,164986.12,158952.98,825724.7,"Trott, David A",REP,1,40.8,56.1,96480.0,1478980.0,1728980.0,1302589.42,1041521.36,1467911.94,5008647.6,1,711982,72072,207228,927,4,1698,0.833985972,876535,1308958,0,CHALLENGER,0,1615953
2014,SD-1,"Robinson, Corinna",DEM,1,8529.0,11029.0,11031.39,14667.01,8672.19,5036.57,175118.39,"Noem, Kristi Lynn",REP,0,33.5,66.5,97160.0,185910.0,186174.51,90230.3,881078.74,977022.95,2352657.33,1,834236,49332,220794,644,10,11,0.853394004,872406,971986,2,INCUMBENT,1,175143
2012,PA-7,"Badey, George J Iii",DEM,1,62289.67,103666.17,103984.65,90837.0,190065.07,203212.72,562274.77,"Meehan, Patrick L. Mr. Jr.",REP,0,40.5,59.5,258559.25,498329.98,498329.98,150058.58,1055502.99,1403774.39,2614863.09,1,710660,77914,200963,1079,2,823,0.88222216,865437,1200561,1,INCUMBENT,1,394345
2014,OH-16,"Crossland, Pete",DEM,1,3405.0,3405.0,3405.0,4541.67,6642.31,5505.64,37789.0,"Renacci, James B",REP,0,36.2,63.8,110731.56,262307.56,262307.56,81770.55,866013.78,1046550.79,2060080.85,1,721968,59778,213049,778,6,598,0.938385081,859371,1041045,1,INCUMBENT,1,258902
2014,NM-2,"Lara, Roxanne",DEM,1,170274.2,264271.86,264271.86,59326.88,506876.82,711821.8,1415026.93,"Pearce, Stevan E.",REP,0,35.5,64.5,130643.2,186143.2,186643.2,68900.99,1350141.37,1467883.58,2070663.45,1,698308,39541,169496,682,5,9,0.811687679,843264,756061,2,INCUMBENT,1,-77628
2012,WA-5,"Cowan, Rich",DEM,1,83503.0,92329.1,92329.1,92957.57,74902.83,74274.36,369672.46,"Rodgers, Cathy Mcmorris",REP,0,37.9,62.1,220559.0,364799.0,364940.0,250351.0,916048.0,1030637.0,1968862.0,1,679793,46356,169497,743,7,43,0.890054767,841145,956362,2,INCUMBENT,1,272610
2014,MI-3,"Goodrich, Robert Emmett",DEM,1,300.0,60300.0,60300.0,58862.98,0.0,1437.02,328939.0,"Amash, Justin",REP,0,39.0,57.9,252000.35,272200.35,272474.35,311994.16,841007.26,801487.45,1805117.17,1,714507,50381,192935,735,4,271,0.847844738,841007,800050,2,INCUMBENT,1,212174
2014,TX-19,"Marchbanks, James Neal",DEM,1,4073.49,4073.49,4073.49,17309.47,16636.21,3400.23,58582.45,"Neugebauer, Randy Honorable",REP,0,18.4,77.2,27197.0,73697.0,75204.4,184432.34,857385.52,748157.58,1670292.16,1,710487,43821,158231,733,26,27,0.830089783,840749,744757,2,INCUMBENT,1,71130
2012,AZ-6,"Jette, Matthew T",DEM,2,3330.51,3330.51,23330.51,15070.94,0.0,8259.57,25850.51,"Schweikert, David",REP,0,33.2,61.6,180362.0,274162.0,274380.08,229269.22,811594.62,856705.48,1982869.87,1,733405,61081,189034,988,12,1173,0.862466168,811594,848445,0,INCUMBENT,1,251049
2014,NE-3,"Sullivan, Mark",DEM,1,2544.0,2544.0,2544.0,5147.0,19661.0,17058.0,59755.05,"Smith, Adrian",REP,0,24.5,75.5,11895.0,107430.17,108014.59,196035.32,828743.79,740723.06,1034587.4,1,608338,46933,172585,605,23,9,0.940840454,809082,723665,2,INCUMBENT,1,105470
2012,CA-25,"Rogers, Lee C",DEM,1,50775.39,55775.39,56114.53,39239.52,26577.83,43452.84,374126.89,"Mckeon, Howard P. 'Buck'",REP,0,44.4,55.6,13010.0,81510.0,115127.26,254414.65,826591.53,687304.14,1980066.12,1,718338,69888,148981,1352,3,424,0.646226428,800013,643851,2,INCUMBENT,1,59012
2012,NY-19,"Schreibman, Julian D",DEM,1,121733.77,181233.77,181233.77,88984.36,239454.37,331703.78,1359071.52,"Gibson, Christopher P",REP,0,46.5,53.5,56995.0,188245.0,195549.36,22714.79,1018715.27,1191549.84,2187704.7,1,714225,56611,199225,880,-1,89,0.899218034,779260,859846,2,INCUMBENT,1,14315
2014,KS-1,"Sherow, James Earl",DEM,1,24788.0,24788.0,24788.0,35374.01,21013.54,10427.53,171851.4,"Huelskamp, Timothy A Representa",REP,0,32.5,67.5,78449.38,109449.38,109941.62,75371.67,800087.85,834657.8,845472.15,1,720915,45276,183114,652,23,13,0.884481527,779074,824230,2,INCUMBENT,1,85153
2014,OH-6,"Garrison, Jennifer D",DEM,1,39139.3,110083.31,110083.31,108563.32,229260.25,230780.24,949150.8,"Johnson, Bill",REP,0,38.6,58.2,123380.0,340876.69,340877.63,142435.22,1007850.0,1206292.41,2233991.61,1,714160,42162,207975,585,8,98,0.953672846,778589,975512,2,INCUMBENT,1,230794
2012,CA-45,"Kang, Sukhee",DEM,1,53776.0,54126.0,55799.0,32406.82,212502.88,235895.06,754719.23,"Campbell, John Bt Iii",REP,0,40.9,59.1,48362.22,115362.22,117161.74,62487.44,986577.65,1041251.95,1295137.64,1,728185,90408,167350,1757,7,2204,0.650142478,774074,805356,0,INCUMBENT,1,61362
2012,TN-3,"Headrick, Mary Margaret",DEM,1,5402.0,16069.0,16069.0,16930.0,3703.0,2842.0,118782.23,"Fleischmann, Charles J",REP,0,35.5,61.5,141144.0,212618.99,213310.77,242299.58,759526.95,730538.14,1412229.34,1,715497,41081,193984,688,16,156,0.854193658,755823,727696,2,INCUMBENT,1,197241
2014,WA-3,"Dingethal, Bob",DEM,1,45628.78,46619.6,46619.6,36319.37,12070.46,22370.69,204435.25,"Herrera Beutler, Jaime",REP,0,38.5,61.5,167012.19,245869.29,249845.26,133986.35,763915.78,879774.69,1744491.35,1,685541,52324,168910,883,2,75,0.871975564,751845,857404,2,INCUMBENT,1,203225
2014,WA-5,"Pakootas, Joseph A",DEM,1,31727.26,34377.26,34377.26,41762.73,23129.69,15744.22,202163.57,"Mcmorris Rodgers, Cathy",REP,0,39.6,60.4,203222.0,419734.0,441094.0,375879.0,762625.0,827840.0,2698350.0,1,679793,46356,169497,743,7,43,0.890054767,739495,812095,2,INCUMBENT,1,406716
2014,TX-32,"Perez, Frank Anthony",DEM,1,2740.0,7240.0,9715.0,5439.74,100.0,4375.26,10215.0,"Sessions, Pete Mr.",REP,0,35.4,61.8,121250.0,260500.0,261873.12,258312.39,736719.63,740280.36,2567778.88,1,721770,62062,156312,950,10,3887,0.632640592,736619,735905,0,INCUMBENT,1,252158
2012,NJ-2,"Shober, Cassandra Ranieri",DEM,1,15291.99,16371.99,16371.99,16429.92,8885.0,8827.07,55143.75,"Lobiondo, Frank A.",REP,0,40.0,58.0,81200.0,153200.0,153610.23,53761.34,743261.38,843110.27,1566499.52,1,733779,57154,191491,1028,-1,350,0.742389739,734376,834283,2,INCUMBENT,1,137238
2012,NV-3,"Oceguera, John",DEM,1,126208.49,228558.49,229433.49,43645.37,438299.51,624087.63,1534013.59,"Heck, Joe",REP,0,42.8,50.4,106779.38,240442.0,240442.0,87288.59,1133889.53,1287042.94,2423277.15,1,710840,61836,154716,1170,0,249,0.708975297,695590,662955,2,INCUMBENT,1,11008
2014,IN-9,"Bailey, Bill",DEM,1,8585.0,11591.9,20391.9,20395.08,1009.7,1006.52,114584.2,"Young, Todd Christopher",REP,0,33.3,63.1,177123.92,310759.1,310759.1,115570.92,695398.75,890586.93,2156588.92,1,730316,49426,193761,752,9,162,0.92195844,694389,889580,2,INCUMBENT,1,290367
2014,MD-1,"Tilghman, William F",DEM,1,3150.0,3150.0,3150.08,1245.13,4795.99,6700.94,572862.41,"Harris, Andrew P",REP,0,29.3,70.7,26005.0,79505.0,79603.94,44375.0,692729.53,727958.47,1296624.88,1,724648,67161,204886,978,14,182,0.8300637,687933,721257,2,INCUMBENT,1,76453
2012,NE-1,"Reiman, Korey Lynn",DEM,1,5584.0,5584.0,5584.0,9052.0,7507.0,4039.0,30444.0,"Fortenberry, Jeffrey",REP,0,31.5,68.5,26905.0,90655.0,90934.93,50064.41,695104.16,735974.68,698413.78,1,620380,52337,159082,701,10,69,0.9029627,687597,731935,2,INCUMBENT,1,85350
